,Full name,Description,Language,Topics,Number of stars
0,donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,"['programming', 'development', 'design', 'design-system', 'system', 'design-patterns', 'web', 'web-application', 'webapp', 'python', 'interview', 'interview-questions', 'interview-practice']",157103
1,yangshun/tech-interview-handbook,💯 Curated interview preparation materials for busy engineers,JavaScript,"['interview-questions', 'coding-interviews', 'interview-practice', 'interview-preparation', 'algorithm', 'algorithms', 'hacktoberfest']",63042
2,kdn251/interviews,Everything you need to know to get the job.,Java,"['java', 'interview', 'interview-questions', 'interview-practice', 'interview-preparation', 'interview-prep', 'algorithm', 'algorithm-challenges', 'algorithms', 'algorithm-competitions', 'technical-coding-interview', 'leetcode', 'leetcode-solutions', 'leetcode-java', 'coding-interviews', 'coding-interview', 'coding-challenge', 'coding-challenges', 'leetcode-questions', 'interviews']",54988
3,DopplerHQ/awesome-interview-questions,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: ,,"['awesome-list', 'awesomeness', 'interview-questions', 'interviewing', 'interview-practice', 'ruby', 'javascript', 'awesome', 'list', 'python-interview-questions', 'rails-interview', 'javascript-interview-questions', 'angularjs-interview-questions', 'android-interview-questions']",44530
4,binhnguyennus/awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",,"['system-design', 'backend', 'scalability', 'interview', 'architecture', 'devops', 'design-patterns', 'interview-questions', 'awesome-list', 'big-data', 'awesome', 'resources', 'lists', 'web-development', 'programming', 'system', 'interview-practice', 'computer-science', 'distributed-systems', 'machine-learning']",36865
5,donnemartin/interactive-coding-challenges,120+ interactive Python coding interview challenges (algorithms and data structures).  Includes Anki flashcards.,Python,"['python', 'algorithm', 'data-structure', 'development', 'programming', 'coding', 'interview', 'interview-questions', 'interview-practice', 'competitive-programming']",24446
6,huihut/interview,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation, etc.",C++,"['interview', 'interview-questions', 'interview-practice', 'interview-preparation', 'interviews', 'c', 'cpp', 'algorithm', 'database', 'data-structures', 'stl', 'operating-system', 'leetcode']",21759
7,chefyuan/algorithm-base,专门为刚开始刷题的同学准备的算法基地，没有最细只有更细，立志用动画将晦涩难懂的算法说的通俗易懂！,Java,"['leetcode', 'offer', 'algorithms', 'base', 'programmers', 'interview-questions', 'interview-practice', 'java']",9601
8,MindorksOpenSource/android-interview-questions,Your Cheat Sheet For Android Interview - Android Interview Questions,Java,"['cheatsheet', 'cheat-sheets', 'android', 'android-interview-practice', 'android-interview-questions', 'android-interview', 'interview-questions', 'interview-practice', 'interview-prep']",8260
9,twowaits/SDE-Interview-Questions,"Most comprehensive list :clipboard: of tech interview questions :blue_book: of companies scraped from Geeksforgeeks, CareerCup and Glassdoor. ",Java,"['data-structures', 'algorithm', 'geeksforgeeks', 'glassdoor', 'careercup', 'coding-interviews', 'coding-interview', 'interview-practice', 'interview-preparation', 'interview-questions', 'interview-prep']",5449
10,mandliya/algorithms_and_data_structures,180+ Algorithm & Data Structure Problems using C++,C++,"['algorithm', 'c', 'cpp', 'interview-questions', 'interview-practice', 'data-structures', 'datastructures', 'c-plus-plus', 'bit-manipulation', 'tree', 'leetcode-solutions', 'leetcode', 'string-manipulation']",4673
11,teivah/algodeck,An Open-Source Collection of 200+ Algorithmic Flash Cards to Help you Preparing your Algorithm & Data Structure Interview 💯,,"['algorithms', 'data-structures', 'array', 'bit-manipulation', 'complexity', 'dynamic-programming', 'graph', 'greedy-algorithms', 'hashtable', 'heap', 'linked-list', 'math', 'queue', 'recursion', 'sorting-algorithms', 'stack', 'tree', 'interview-practice', 'algorithm', 'java']",4460
12,JsonChao/Awesome-Android-Interview,:fire: A awesome  android expert interview questions and answers（continuous updating ...）,,"['android', 'interview', 'java', 'interview-questions', 'cheatsheet', 'cheatsheets', 'android-interview-practice', 'android-interview', 'interview-practice', 'interview-preparation', 'interview-prep']",3612
13,kennymkchan/interview-questions-in-javascript,A mostly reasonable collection of technical software development interview questions solved in Javascript,,"['interview-questions', 'javascript', 'stack', 'recursion', 'strings', 'array', 'interview-practice', 'interviews']",3271
14,NotFound9/interviewGuide,《大厂面试指北》——包括Java基础、JVM、数据库、mysql、redis、计算机网络、算法、数据结构、操作系统、设计模式、系统设计、框架原理。最佳阅读地址：http://notfound9.github.io/interviewGuide/,Java,"['interview-questions', 'java', 'redis', 'star', 'jvm', 'mysql', 'interview', 'algorithms', 'spring', 'backend', 'leetcode', 'leetcode-java', 'data-structures', 'interview-practice', 'interviews', 'system-design', 'interview-preparation', 'guide', 'code-interview', 'java-interview']",3164
15,AweiLoveAndroid/CommonDevKnowledge,:octocat::fire: :star2::star::star::star: :star:  史上最全的BAT大厂Android面试题汇集，以及常用的Android开发的一些技能点，冷门知识点汇总，开发中遇到的坑汇总等干货。,Java,"['java', 'android', 'interview', 'interview-questions', 'interview-practice', 'interviews', 'offer']",2834
